company_name,hq_city,hq_country,services,lanes,website,phone
Acceller Global Logistics,,Kenya,customs-brokerage,,,
Accord Logistics,,Kenya,customs-brokerage,,,
Adairs Freight,,Kenya,customs-brokerage,,,
Adroit Logistics,,Kenya,customs-brokerage,,,
Aeropath Kenya Ltd,,Kenya,customs-brokerage,,,
Affaires Afrique Ltd,,Kenya,customs-brokerage,,,
Africa Direct Ltd,,Kenya,customs-brokerage,,,
Afrifresh Conveyors,,Kenya,customs-brokerage,,,
Afriq Freight Services,,Kenya,customs-brokerage,,,
Agility Logistics,,Kenya,customs-brokerage,,,
Agriquip Agencies E.A,,Kenya,customs-brokerage,,,
AGS Worldwide Movers Ltd,,Kenya,customs-brokerage,,,
Airband Cargo Forwarders,,Kenya,customs-brokerage,,,
Aircom Cargo Logistics,,Kenya,customs-brokerage,,,
Airflo Ltd,,Kenya,customs-brokerage,,,
Airmarine & Land Trading,,Kenya,customs-brokerage,,,
Airmarine Conveyors,,Kenya,customs-brokerage,,,
Airsea Logistics,,Kenya,customs-brokerage,,,
Akamai Freight Forwarders,,Kenya,customs-brokerage,,,
Alaxandria Freight,,Kenya,customs-brokerage,,,
Allscope Logistics,,Kenya,customs-brokerage,,,
Almeo Logistics,,Kenya,customs-brokerage,,,
Alpha Worldwide Freight,,Kenya,customs-brokerage,,,
Amazon Freight Ltd,,Kenya,customs-brokerage,,,
Apple Logistics,,Kenya,customs-brokerage,,,
Aramex Kenya Ltd,,Kenya,customs-brokerage,,,
Freva Logistics Services,,Kenya,customs-brokerage,,,
Gallin Holding Ltd,,Kenya,customs-brokerage,,,
Gallion Logistics,,Kenya,customs-brokerage,,,
Gamma Villa,,Kenya,customs-brokerage,,,
Garden Freight Logistics,,Kenya,customs-brokerage,,,
Gatlink Investment,,Kenya,customs-brokerage,,,
General Freighters,,Kenya,customs-brokerage,,,
Ghomba International Ltd,,Kenya,customs-brokerage,,,
Gibron Ltd,,Kenya,customs-brokerage,,,
Gimbco Freight,,Kenya,customs-brokerage,,,
Glinter Logistics Ltd,,Kenya,customs-brokerage,,,
Global Cargo Movers,,Kenya,customs-brokerage,,,
Global Freight Logistics,,Kenya,customs-brokerage,,,
GN Cargo Kenya Ltd,,Kenya,customs-brokerage,,,
Goldfield Logistics Ltd,,Kenya,customs-brokerage,,,
Good Freight International,,Kenya,customs-brokerage,,,
Gulimex International,,Kenya,customs-brokerage,,,
Habo Agencies,,Kenya,customs-brokerage,,,
Happyworld Freighters,,Kenya,customs-brokerage,,,
Hebatullah Brothers Ltd,,Kenya,customs-brokerage,,,
Hima Freighters,,Kenya,customs-brokerage,,,
Hi-Tech Impex Ltd,,Kenya,customs-brokerage,,,
Homeland Freight Ltd,,Kenya,customs-brokerage,,,
Horizon Express,,Kenya,customs-brokerage,,,
Horizon Freight Forwarders,,Kenya,customs-brokerage,,,
Iceberg Movers Enterprises,,Kenya,customs-brokerage,,,
ILC Cargo Logistics,,Kenya,customs-brokerage,,,
Impex Freight Ltd,,Kenya,customs-brokerage,,,
Inbound Freight & Logistics,,Kenya,customs-brokerage,,,
Index Cargo Logistics,,Kenya,customs-brokerage,,,
Indus Logistics Ltd,,Kenya,customs-brokerage,,,
Infusion Logistics,,Kenya,customs-brokerage,,,
Inspire Cargo Logistics,,Kenya,customs-brokerage,,,
Intercities Freight & Shipping,,Kenya,customs-brokerage,,,
Intergrated Logistics Ltd,,Kenya,customs-brokerage,,,
International Commercial,,Kenya,customs-brokerage,,,
International Foreign Trade,,Kenya,customs-brokerage,,,
Pinnaco Logistics,,Kenya,customs-brokerage,,,
Pioneer Freight Forwarders,,Kenya,customs-brokerage,,,
Plains Logistics,,Kenya,customs-brokerage,,,
Planfreight Ltd,,Kenya,customs-brokerage,,,
Polygon Logistics Ltd,,Kenya,customs-brokerage,,,
Port Conveyors,,Kenya,customs-brokerage,,,
Portway E.A Ltd,,Kenya,customs-brokerage,,,
Portwoxs Cargo Forwarders,,Kenya,customs-brokerage,,,
Prafulla Enterprises,,Kenya,customs-brokerage,,,
Precise Logistics,,Kenya,customs-brokerage,,,
Priority Air Express,,Kenya,customs-brokerage,,,
Priority Logistics,,Kenya,customs-brokerage,,,
Prome Tech Ltd,,Kenya,customs-brokerage,,,
Queens Cargo International,,Kenya,customs-brokerage,,,
Quick Cargo Services,,Kenya,customs-brokerage,,,
Radisson Ltd,,Kenya,customs-brokerage,,,
Rahma Logistics,,Kenya,customs-brokerage,,,
Ramsford Freight Forwarders,,Kenya,customs-brokerage,,,
Rapat Freight K Ltd,,Kenya,customs-brokerage,,,
Rapid Kate Services,,Kenya,customs-brokerage,,,
Ras Cargo Freight Ltd,,Kenya,customs-brokerage,,,
Ray Cargo Services,,Kenya,customs-brokerage,,,
Realdream International,,Kenya,customs-brokerage,,,
Realtime Cargo Ltd,,Kenya,customs-brokerage,,,
Realtime Freight Performance,,Kenya,customs-brokerage,,,
Red Anchor International,,Kenya,customs-brokerage,,,
Regional Entrepreneurs,,Kenya,customs-brokerage,,,
Relay Cargo Services,,Kenya,customs-brokerage,,,
Removal Goods Services,,Kenya,customs-brokerage,,,
Renaissance Ltd,,Kenya,customs-brokerage,,,
Rescuetech Enterprises,,Kenya,customs-brokerage,,,
Ridgeway Merchants Ltd,,Kenya,customs-brokerage,,,
Rige Ltd,,Kenya,customs-brokerage,,,
Rioma Freighters Ltd,,Kenya,customs-brokerage,,,
Rising Freight,,Kenya,customs-brokerage,,,
Rolling Cargo Ltd,,Kenya,customs-brokerage,,,
Ruman Logistics,,Kenya,customs-brokerage,,,
Ryce E.A Ltd,,Kenya,customs-brokerage,,,
SAG Forwarders Ltd,,Kenya,customs-brokerage,,,
Saharry Ltd,,Kenya,customs-brokerage,,,
Sai Cargo Masters,,Kenya,customs-brokerage,,,
Shaqshan Freight,,Kenya,customs-brokerage,,,
Shardi Express,,Kenya,customs-brokerage,,,
Shenker Ltd,,Kenya,customs-brokerage,,,
Simmonds Cargo Services,,Kenya,customs-brokerage,,,
Sky & Sea Cargo Track,,Kenya,customs-brokerage,,,
Skylark Conveyors Ltd,,Kenya,customs-brokerage,,,
Skyline Express Services,,Kenya,customs-brokerage,,,
Skyline Global Services,,Kenya,customs-brokerage,,,
Skylux Logistics Ltd,,Kenya,customs-brokerage,,,
Smoothline Freighters Ltd,,Kenya,customs-brokerage,,,
Sonic Fresh Co. Ltd,,Kenya,customs-brokerage,,,
Sote Forwarders Ltd,,Kenya,customs-brokerage,,,
Speedex Logistics,,Kenya,customs-brokerage,,,
Speranza International,,Kenya,customs-brokerage,,,
Steca Freight,,Kenya,customs-brokerage,,,
Stefra Consultancy Agencies,,Kenya,customs-brokerage,,,
Stekar Logistics,,Kenya,customs-brokerage,,,
Stellar Logistics,,Kenya,customs-brokerage,,,
Straightline Cargo Forwarders,,Kenya,customs-brokerage,,,
Subukia Holdings,,Kenya,customs-brokerage,,,
Suna Freighters,,Kenya,customs-brokerage,,,
Supercare Freight Services,,Kenya,customs-brokerage,,,
Superfirst Forwarders,,Kenya,customs-brokerage,,,
Superfreight Ltd,,Kenya,customs-brokerage,,,
Supermark Worldwide Freight,,Kenya,customs-brokerage,,,
Superquick Freighters,,Kenya,customs-brokerage,,,
Supersonic C & F Services,,Kenya,customs-brokerage,,,
Sysmax Global Logistics,,Kenya,customs-brokerage,,,
Tabaki Freight Services,,Kenya,customs-brokerage,,,
Tandem Solutions,,Kenya,customs-brokerage,,,
Tastic Enterprises,,Kenya,customs-brokerage,,,
Tatu Ltd,,Kenya,customs-brokerage,,,
Techno Relief Services,,Kenya,customs-brokerage,,,
Tedice Express Agencies,,Kenya,customs-brokerage,,,
Tepra Logistics,,Kenya,customs-brokerage,,,
Tham Express,,Kenya,customs-brokerage,,,
The Nairobi Clearing House,,Kenya,customs-brokerage,,,
Titan Logistics International,,Kenya,customs-brokerage,,,
